26021,05,08,12,14,17,04,05,783711295,7,6463717,161,73420,291691198,2026-03-02
26020,01,10,21,23,29,10,12,823831821,3,10000000,77,219344,319278064,2026-02-28
26019,12,13,14,16,31,04,12,780263624,8,7528120,72,275339,356165890,2026-02-25
26018,09,11,19,30,35,01,12,761611231,7,6692203,86,208790,349431305,2026-02-11
26017,04,05,10,23,31,07,12,762704025,6,7044236,104,141471,314171855,2026-02-09
26016,08,09,12,19,24,01,06,755649052,13,5925957,243,50303,333666762,2026-02-07
26015,01,04,10,13,17,03,11,829148796,4,9339920,98,175350,310086553,2026-02-04
26014,16,18,23,34,35,01,06,842732986,2,10000000,81,242159,318884035,2026-02-02
26013,03,05,06,23,26,01,04,782886373,10,6149358,409,26110,350779828,2026-01-31
26012,01,02,09,22,25,01,06,799554979,5,6986204,131,102374,318917948,2026-01-28
26011,14,21,23,29,33,02,10,793323031,3,10000000,74,238777,312938804,2026-01-26
26010,02,03,13,18,26,02,09,751872266,4,7802471,182,80971,336186076,2026-01-24
26009,05,12,13,14,33,05,08,734360129,5,7330817,144,81886,302386708,2026-01-21
26008,03,06,17,21,33,05,11,724155773,4,7691274,151,80101,301922043,2026-01-19
26007,01,03,13,20,26,03,10,710693230,18,5482790,213,47028,333462560,2026-01-17
26006,05,12,18,23,35,06,12,787011244,8,6674129,217,61900,315815131,2026-01-14
26005,02,04,16,23,35,06,11,788287446,8,7117857,77,200399,311138123,2026-01-12
26004,05,18,23,25,32,05,09,779153161,11,7203146,174,60927,329175580,2026-01-10
26003,02,09,11,15,16,02,04,829620750,7,8930618,122,117604,299733101,2026-01-07
26002,04,08,15,20,31,07,08,858169057,6,9775062,125,105467,300101679,2026-01-05
26001,07,09,23,27,32,02,08,875846393,13,6570234,193,48202,309467020,2026-01-03
25150,13,14,15,28,31,01,05,942601223,4,10000000,148,101123,315770974,2025-12-31
25149,24,26,30,31,32,05,12,921221228,1,10000000,77,220057,293718026,2025-12-29
25148,03,04,14,30,32,08,12,869158981,2,10000000,52,339083,314824866,2025-12-27
25147,06,16,21,25,33,07,08,816064823,1,10000000,85,182730,290531842,2025-12-24
25146,06,11,13,16,22,02,03,762703697,4,8749278,90,151069,295258973,2025-12-22
25145,05,07,20,22,25,04,05,739212071,12,6856186,169,80943,318998515,2025-12-20
25144,02,05,13,15,28,05,08,818422788,15,6101535,176,38680,294039927,2025-12-17
25143,03,04,18,24,29,07,12,891182916,2,10000000,90,153076,292194189,2025-12-15
25142,09,10,14,27,29,02,09,850180600,3,10000000,166,72919,305166365,2025-12-13
25141,04,09,24,28,29,02,10,830232369,6,9722298,80,178828,293217299,2025-12-10
25140,04,05,13,18,34,02,08,850018675,3,10000000,88,135097,294883884,2025-12-08
25139,08,18,22,30,35,01,04,830587732,4,9709642,63,276299,319213811,2025-12-06
25138,01,03,19,21,23,07,11,795955875,6,7222472,79,205985,299205645,2025-12-03
25137,07,08,09,11,22,05,11,784972572,7,6774667,185,64465,306419813,2025-12-01
25136,07,11,15,16,23,09,11,783829598,11,9163843,181,102716,332166578,2025-11-29
25135,02,10,16,28,32,01,07,813180323,5,7889103,127,118308,310594999,2025-11-26
25134,07,12,18,27,33,09,10,793585609,8,8817317,245,50171,311134788,2025-11-24
25133,04,11,23,27,35,07,11,818773871,9,9025594,90,179647,337536466,2025-11-22
25132,01,09,10,12,19,06,07,850074477,8,8610168,125,97627,313565367,2025-11-19
25131,03,08,25,29,32,09,12,878666213,3,10000000,134,102430,312224838,2025-11-17
25130,01,13,16,27,29,02,11,855509809,5,10000000,98,202925,347978820,2025-11-15
25129,03,09,14,28,35,02,04,826944600,3,10000000,86,179172,327577708,2025-11-12
25128,03,06,26,30,33,11,12,806116344,9,9682656,113,137766,335180121,2025-11-10
25127,04,05,19,28,29,05,08,827515757,36,5427642,284,22884,353038355,2025-11-08
25126,01,08,18,27,30,06,07,1033170236,8,8218910,134,106490,333017418,2025-11-05
25125,10,11,13,19,35,04,11,1071539156,4,10000000,116,145574,333554750,2025-11-03
25124,06,09,14,26,27,08,09,1062300761,18,6587901,211,50264,367907521,2025-11-01
25123,08,13,24,25,31,04,10,1136294713,9,10000000,145,116755,333755324,2025-10-29
25122,02,03,06,16,17,04,05,1153025368,9,8046946,119,126281,332420638,2025-10-27
25121,02,03,08,13,21,07,12,1201113535,10,9198484,114,150688,356833346,2025-10-25
25120,11,13,22,26,35,02,08,1229721100,8,9990487,113,132079,325832725,2025-10-22
25119,08,15,27,29,31,01,07,1247363715,3,10000000,83,194720,319880731,2025-10-20
25118,02,08,09,12,21,04,05,1209569201,4,10000000,188,68761,319584678,2025-10-18
25117,05,10,18,21,29,05,07,1200034223,12,7523798,249,49320,302232387,2025-10-15
25116,02,06,16,22,29,08,12,1245943636,0,0,122,113528,298992508,2025-10-13
25115,03,12,14,21,35,01,05,1188143075,3,10000000,79,233905,330363634,2025-10-11
